ID,Points,Label
1059,1123,"AlboFFC"
1060,861,"Draaxil"
1061,2201,"Avelton"
1062,1469,"Paxa.United"
1063,8311,"Evgesha"
1064,5865,"4twenty!"
1065,2343,"Pajas"
1066,1041,"Fixie!"
1067,11702,"Shocker"
1068,1485,"Sirius"
1069,902,"Puffy"
1070,4025,"Sky-Owl"
1071,5322,"Ninja<33"
1072,1034,"gB. I *WuDL*"
1073,13318,"Quote"
1074,731,"KIllA"
1075,6340,"Cloudly"
1076,1538,"Donio3d"
1077,2217,"Lautre fan"
1078,2343,"Fuchs"
1079,1147,"Lord Helix"
1080,11509,"☯Mڶɴ3☯"
1081,2790,"⚡-єxoтi¢"
1082,6723,"cB|timur"
1083,3530,"DSS"
1084,2000,"NigglePig"
1085,3721,"Sebaesponja"
1086,1994,"TyxpekCZ"
1087,6198,"kezo"
1088,4540,"GreenDragons"
1089,3495,"Twixco"
1090,644,"Cøm3b4©k"
