Rank,Nickname,Points,Insane_pts,List_of_insane_maps
414,monte,3462,34,[('Genericore 6', 34)]
415,Mischga,3508,114,[('New Generation', 38), ('Binary', 34), ('Heartcore', 42)]
416,σℓí♡,3524,38,[('Genericore 8', 38)]
417,Telus,3570,34,[('Adrenaline 4.2', 34)]
418,Fermer,3579,76,[('Genericore 6', 34), ('Tatooine 2', 42)]
419,A-Team,3621,34,[('Binary', 34)]
420,vak,3658,38,[('Ravillion', 38)]
421,Blake Griffin,3696,102,[('Genericore 6', 34), ("Yo'Ci", 34), ('Ton', 34)]
422,noby,3701,80,[('Ravillion', 38), ('Heartcore', 42)]
423,tinkywinky,3709,34,[('Adrenaline 4.1', 34)]
424,[ĢøŴ]Lickout,3722,84,[('Back in Time 2', 42), ('4u', 42)]
425,Dubstep,3725,34,[('4q', 34)]
426,Yuzu,3730,34,[('Genericore 6', 34)]
427,Lisica,3778,34,[('Generic World', 34)]
428,archimede67,3812,34,[('Ton', 34)]
429,iKizu,3813,34,[('Binary', 34)]
430,Ellie,3830,42,[('Back in Time 2', 42)]
431,Frucht,3859,144,[('Not Naufrage 4', 34), ('Genericore 6', 34), ('Back in Time 2', 42), ('Regen 2', 34)]
432,Takito,3892,34,[('Springlobe 3', 34)]
433,Regedit|,3925,68,[('Aimazing', 34), ('Springlobe 3', 34)]
434,Arii,3956,42,[('Back in Time 2', 42)]
435,lil cyclic,3958,114,[('Genericore 6', 34), ('Ravillion', 38), ('Tatooine 2', 42)]
436,Ronex,3971,34,[('Adrenaline 4.1', 34)]
437,RedPig,4011,34,[('Shockwave', 34)]
438,Savage:*,4014,34,[("Yo'Ci", 34)]
439,ulit-ulit,4034,42,[('Back in Time 2', 42)]
440,Black-_-lotus.,4037,102,[('Adrenaline 4.1', 34), ('Generic World', 34), ('Adrenaline 4.2', 34)]
441,Hard?,4057,42,[('Back in Time 2', 42)]
442,ScreaT,4065,42,[('Back in Time 2', 42)]
443,Xusep,4077,34,[('Adrenaline 4.2', 34)]
444,7ll,4096,34,[('Springlobe 3', 34)]
445,walala,4098,34,[('Generic World', 34)]
446,Horst,4182,34,[('4q', 34)]
447,Itachi,4198,34,[('Justice', 34)]
448,=Denkst du=,4214,34,[('Generic World', 34)]
449,Towa,4242,110,[('Binary', 34), ('Back in Time 2', 42), ('Shockwave', 34)]
450,HaHAxD,4245,38,[('New Generation', 38)]
451,Krumplee,4246,34,[('Springlobe 3', 34)]
452,Styx,4260,80,[('Ravillion', 38), ('Heartcore', 42)]
453,RavQ,4303,72,[('Binary', 34), ('Ravillion', 38)]
454,Latunix,4330,42,[('Back in Time 2', 42)]
455,Monkey D. Luffy,4429,72,[('Genericore 8', 38), ('4q', 34)]
456,Zubastik,4459,42,[('4u', 42)]
457,Chao,4486,250,[('Binary', 34), ("Yo'Ci", 34), ('The Enchanted Clearing', 34), ('Adrenaline 4.1', 34), ('Ton', 34), ('Back in Time 2', 42), ('HellCore', 38)]
458,MisterX,4505,114,[('Binary', 34), ('Ravillion', 38), ('Back in Time 2', 42)]
459,*LooGiaH.,4517,34,[('Springlobe 3', 34)]
460,Sunshine,4523,42,[('4u', 42)]
461,bluekitty,4547,38,[('HellCore', 38)]
