Map: Time, Date
It's Time:	54.38,	2017-11-07 16:35:49
Ulver:	590.44,	2017-11-07 19:01:33
DeadCore 3:	1309.7,	2017-11-08 15:05:32
Hardcore 1:	407.18,	2017-11-08 19:06:56
Just Ragequit:	757.14,	2017-11-10 17:27:48
Out of Castle:	930.84,	2017-11-11 16:59:38
Generic Hell:	1218.48,	2017-11-14 19:14:40
Eternity:	70.38,	2017-11-16 16:18:27
Antrum:	124.44,	2017-11-17 14:58:50
Rope swing:	49.74,	2017-11-18 12:50:28
Cup of Tee:	227.68,	2017-11-18 12:57:04
run_escape_the_darkness:	92.68,	2017-11-18 20:19:52
2+2=green:	45.0,	2017-11-19 15:24:01
Tibto:	1096.48,	2017-11-20 17:42:06
Helena:	666.42,	2017-11-20 20:03:24
run_dude:	38.88,	2017-11-20 22:24:31
Around the Globe:	1536.6,	2017-11-21 19:35:20
Cavings I:	321.24,	2017-11-22 08:40:17
ROCKET-BELT:	453.52,	2017-11-22 15:40:52
Last Jump:	178.84,	2017-11-23 16:25:49
Solo_Mietzcore:	607.38,	2017-11-25 13:42:21
Brony:	401.08,	2017-11-25 16:14:14
Curse:	960.38,	2017-11-25 20:29:19
Verification 3.4:	68.52,	2017-11-27 15:29:43
DarkCore 3:	437.94,	2017-11-28 22:29:55
Pink Sky:	474.42,	2017-11-29 09:44:00
Brownie:	217.72,	2017-11-29 13:14:07
Freeze Slow 1:	468.92,	2017-11-30 19:22:19
KeepOut:	190.2,	2017-12-01 16:36:04
Freeze Slow 2:	533.88,	2017-12-01 18:53:43
Freeze Slow 3:	701.18,	2017-12-01 20:13:51
Croissant:	217.98,	2017-12-02 09:23:30
Birinci:	356.5,	2017-12-02 15:56:01
mario(=D):	96.9,	2017-12-02 23:05:35
Spaceman:	156.48,	2017-12-03 13:07:51
Ultimatum 1:	322.4,	2017-12-06 14:43:06
Ultimatum 2:	150.56,	2017-12-06 15:31:24
Grid:	79.56,	2017-12-06 15:46:57
GenericDrag:	141.7,	2017-12-06 22:57:47
AIB Quest 4:	150.86,	2017-12-07 14:45:59
3Play:	1216.2,	2017-12-08 18:19:27
Springlobe 2:	1856.28,	2017-12-09 15:01:51
Lawrence:	350.76,	2017-12-09 16:58:11
blur:	210.56,	2017-12-10 17:07:27
PetJack 2:	184.8,	2017-12-11 14:29:04
Childs Play 1:	780.16,	2017-12-13 20:51:24
Seduction:	482.48,	2017-12-13 21:47:27
GetSpeed:	109.24,	2017-12-15 04:14:59
Kobra 4 Solo:	539.76,	2017-12-18 11:10:19
Green:	392.96,	2017-12-18 16:44:59
Shortgun:	76.7,	2017-12-25 15:17:03
Full Moon:	329.54,	2017-12-25 18:30:12
Think! 2:	478.68,	2017-12-26 21:41:15
Ambrosia:	424.78,	2017-12-26 22:18:13
SkiLLz:	377.22,	2017-12-27 17:40:09
acan:	370.12,	2017-12-30 03:30:38
Delirious:	1079.84,	2017-12-30 23:18:09
Mud:	36.98,	2018-01-02 15:47:58
Genericore 3:	663.42,	2018-01-05 11:05:23
Target:	146.46,	2018-01-05 13:03:29
Skave:	472.34,	2018-01-07 17:13:19
Pados 1:	191.12,	2018-01-08 23:07:09
Elo-Hell:	315.96,	2018-01-09 23:15:30
