No.,Map,Points,CountOfFinishedTees,MedianTime(min),PeX_time(min)
65,Woader,20,380,27.5,29.78
66,Genericore 4,21,383,67.43,63.19
67,Freeze Slow 4,12,388,52.43,62.59
68,Hardcore 11,21,390,45.16,37.02
69,Epic-Fail,21,398,19.66,12.07
70,Space & Time,21,401,39.41,42.35
71,The Dungeon,8,403,60.86,68.22
72,Verification 3.4,12,409,2.12,2.58
73,Replay,4,409,2.69,2.03
74,Don't Panic,24,410,63.61,54.63
75,GetSpeed,8,410,4.06,4.92
76,Ultimatum 1,18,411,25.84,19.67
77,mmips,18,414,23.19,19.0
78,Doreos,18,424,23.36,33.34
79,Piston,8,426,4.07,2.35
80,run_groove,6,430,4.06,5.02
81,Alive,18,431,29.91,20.69
82,frustrainleave,6,433,20.44,51.35
83,run_pink.lila,6,434,10.01,26.59
84,Reload 2,18,436,50.84,44.4
85,P2Z_Eclipse,21,443,63.4,58.28
86,New Era,13,445,17.06,20.67
87,Extension 1.0,8,447,5.15,4.39
88,Continuum,18,447,44.81,41.06
89,Kalimba,13,447,26.21,28.07
90,Gloominescence,18,448,71.06,100.6
91,Sabell,13,450,26.5,28.89
92,run_spring,6,453,7.76,21.71
93,Ultimatum 2,18,455,13.63,10.42
94,Cry,9,456,5.54,3.48
95,Reload 4,12,456,56.64,31.63
96,run_for_ghost,6,460,5.76,15.95
97,Gold Rush,20,463,43.83,42.56
98,Chacruna,15,463,8.88,19.88
99,VeryLow2,16,465,38.61,22.85
100,Hard Way 1.0,16,470,23.55,15.45
101,Yoko 3.1,18,472,36.34,15.29
102,Big Sun,21,475,31.57,26.55
103,Fluff 2,13,475,14.84,8.21
104,Cemetery,18,477,17.6,18.59
105,Reload 3,18,479,45.77,33.57
106,Impossible 3,12,481,27.96,11.13
107,BrokenBlack-1,20,486,26.83,21.78
108,Full Moon,12,486,32.0,42.07
109,Exalate,12,488,54.16,132.36
110,Helena,18,489,44.61,30.03
111,Genericore 5,24,489,35.62,23.23
112,Arabic Night,18,492,24.4,19.54
113,experiment,12,499,21.9,4.25
