No.,Map,Points,CountOfUnfinishedTees,MedianTime(min)
632,Into the Wild,24,220,107.72
633,Gloomy Den,24,220,183.21
634,Jailbreak 4,12,219,34.2
635,Jailbreak 7,18,219,51.96
636,Jazz Hands,20,219,23.58
637,Lost Story 2,21,218,60.0
638,Karaboudjan,21,218,57.43
639,Propagate,8,217,2.95
640,run_skizz_loop1200,6,215,9.28
641,Paranormal,12,214,64.09
642,Rockita,16,214,45.27
643,BrokenBlack-1,20,212,24.72
644,Ice Cave 2,13,211,76.5
645,Croissant,12,211,10.27
646,SavannaDrag 2,20,211,5.69
647,run_alkohol,6,211,5.07
648,run_skizzrettex,8,211,13.42
649,Bizarre Untold,27,211,98.61
650,SavannaDrag,20,210,8.58
651,Genericore 1,24,209,55.04
652,Victory 1,24,208,51.12
653,Movement I,16,208,26.21
654,Runaway,24,206,101.34
655,Dodge,12,206,8.81
656,Genereatron,24,206,77.97
657,Hillside,24,205,65.77
658,Last Jump,12,205,13.84
659,Epic-Fail,21,203,14.54
660,Golden_Evening,12,203,2.59
661,Humpalumpa 1,13,203,44.85
662,Genericore 2,24,203,53.51
663,Picklock,20,203,71.86
664,DeepEdge,12,203,6.88
665,Alaska,12,203,46.33
666,DarkCore 1,12,202,28.07
667,Doreos,18,202,22.47
668,Just Ragequit,24,202,57.23
669,Reload 2,18,201,50.69
670,Journey Man,27,201,121.67
671,Cloud Nine,16,201,36.72
672,Somewhere in the Sky,12,201,24.92
673,Jajka,20,200,35.9
674,The Sewer,24,199,72.19
675,Partenack,16,198,26.98
676,Reckless,21,198,6.19
677,Fluke,21,198,23.6
678,Paradise & Hell,18,197,63.92
679,Dreamland,20,197,23.99
680,Jailbreak 5,18,196,63.02
681,Space,16,196,39.12
682,Revival,24,196,95.73
683,AIB Quest 1,12,194,13.99
684,Sky Stone,13,194,55.2
685,Blizzard!,20,193,90.51
686,Wour Forlds,27,193,53.32
687,LaserTag,12,193,18.48
688,Space & Time,21,190,34.57
689,Roaming,24,189,51.4
690,Tough,21,189,24.78
691,VeryLow2,16,189,32.6
692,Hardcore 6,24,188,42.02
693,whatever,16,188,23.72
694,Maximum speed,12,187,27.77
695,Day One,15,186,39.52
696,Multivitamin,16,186,59.99
697,Freezejump,12,186,1.53
698,Aufnahmetest 2,12,185,5.18
699,Dreadful,16,184,82.82
700,KeepOut,16,184,27.57
701,Ice Cave 1,13,183,88.48
702,Increase,30,183,75.0
703,Chaos 3,16,181,27.18
704,run_inset_into_the_light,6,181,13.03
705,Ravillion,38,181,55.92
706,Zadrotos 4,18,180,54.18
707,Samdragaline,20,180,17.82
708,Provence,8,180,1.93
709,Destiny 3,24,178,53.55
710,Franky's Adventure,24,178,49.05
711,Around the Globe,16,178,85.91
712,Ray - 2,13,178,15.97
713,Genericore 4,21,178,80.08
714,run_keksi,6,178,18.58
715,Nettex,12,177,2.74
716,Genericore 3,24,177,77.33
717,Logics,21,176,107.28
718,Nightly Tandem,21,176,37.08
719,Energie,16,175,28.1
720,Think! 2,16,175,42.29
721,run_painted,8,175,5.74
722,drg5,15,175,3.51
723,balega,15,175,7.24
724,Just Triple Fly,27,174,28.64
725,Black&White,24,174,6.14
726,MoonPie,11,173,21.77
727,Baber,18,173,88.06
728,minion,15,173,24.73
